"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2025,40,55704,243,46,0.518814,0.436234,0.0825793
National,X,2025,41,57031,257,44,0.527783,0.450632,0.077151
National,X,2025,42,55540,307,51,0.64458,0.552755,0.0918257
National,X,2025,43,56778,399,47,0.785516,0.702737,0.0827785
National,X,2025,44,56099,553,62,1.09628,0.985757,0.110519
National,X,2025,45,61988,1060,120,1.90359,1.71001,0.193586
National,X,2025,46,63049,1879,180,3.26571,2.98022,0.285492
National,X,2025,47,66226,3340,286,5.47519,5.04334,0.431855
National,X,2025,48,63138,4772,293,8.02211,7.55805,0.464063
National,X,2025,49,73147,6237,335,8.98465,8.52667,0.457982
National,X,2025,50,82899,12213,600,15.4562,14.7324,0.723772
National,X,2025,51,106008,25740,1380,25.583,24.2812,1.30179
National,X,2025,52,120165,36030,2071,31.7072,29.9838,1.72346
National,X,2025,53,117308,27293,1674,24.6931,23.2661,1.42701
National,X,2026,1,108411,18758,1409,18.6024,17.3027,1.29968
National,X,2026,2,95892,14831,1504,17.0348,15.4664,1.56843
National,X,2026,3,91921,13675,2422,17.5118,14.8769,2.63487
National,X,2026,4,88092,12104,3236,17.4136,13.7402,3.67343
National,X,2026,5,94482,11941,5111,18.0479,12.6384,5.4095
National,X,2026,6,96250,9993,7649,18.3294,10.3823,7.94701
National,X,2026,7,97612,7747,9845,18.0224,7.93652,10.0859
National,X,2026,8,93994,5221,9516,15.6787,5.55461,10.1241
National,X,2026,9,89833,3770,10017,15.3474,4.19668,11.1507
National,X,2026,10,83446,2386,9144,13.8173,2.85933,10.958
National,X,2026,11,75410,1541,6914,11.212,2.0435,9.16855
National,X,2026,12,70086,1123,5618,9.61818,1.60232,8.01587
National,X,2026,13,63430,787,4113,7.72505,1.24074,6.48431
National,X,2026,14,61004,540,3065,5.90945,0.885188,5.02426
National,X,2026,15,59357,453,2233,4.52516,0.763179,3.76198
National,X,2026,16,53957,343,1500,3.41568,0.635691,2.77999
National,X,2026,17,52347,256,1300,2.97247,0.489044,2.48343
National,X,2026,18,50266,218,1044,2.51064,0.433693,2.07695
National,X,2026,19,37343,120,594,1.912,0.321345,1.59066
