PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2025,40,1.61436,1.55382,8392,11227,X,12992,4346,4574,41531,4324,2672834
National,X,2025,41,1.63874,1.58014,8604,11009,X,12955,4354,4587,41509,4337,2626922
National,X,2025,42,1.70106,1.61942,8947,11100,X,12978,4370,4571,41966,4336,2591418
National,X,2025,43,1.74217,1.68654,9355,11608,X,13882,4591,4781,44217,4342,2621762
National,X,2025,44,1.82844,1.78931,9874,11638,X,14885,4591,4683,45671,4340,2552431
National,X,2025,45,2.12441,2.06886,11463,13590,X,19117,5193,5063,54426,4353,2630728
National,X,2025,46,2.26611,2.18377,11847,14286,X,19454,5521,5783,56891,4348,2605168
National,X,2025,47,2.52899,2.48497,13075,16466,X,23939,6368,6390,66238,4370,2665548
National,X,2025,48,2.96861,3.05774,15464,16999,X,24259,6577,7129,70428,4341,2303270
National,X,2025,49,3.29065,3.30581,16171,23370,X,28951,9231,9479,87202,4338,2637838
National,X,2025,50,4.12567,4.27722,19812,27860,X,44764,10387,11370,114193,4359,2669796
National,X,2025,51,6.00861,6.21522,28976,41380,X,69912,14823,16608,171699,4336,2762555
National,X,2025,52,8.28045,8.48349,40575,53733,X,71907,21221,28025,215461,4314,2539768
National,X,2025,53,7.16828,7.25205,33953,53572,X,44254,22720,33315,187814,4300,2589804
National,X,2026,1,5.29502,5.21735,21542,44004,X,37156,19467,24858,147027,4334,2818039
National,X,2026,2,4.38304,4.31147,19103,30943,X,35688,13633,15682,115049,4323,2668439
National,X,2026,3,4.73072,4.37691,19458,28546,X,38144,11171,12621,109940,4313,2511815
National,X,2026,4,4.42612,4.27604,17979,27636,X,36095,10488,11358,103556,4328,2421775
National,X,2026,5,4.61138,4.25379,18096,29044,X,41153,10951,11558,110802,4304,2604784
National,X,2026,6,4.57172,4.38979,19331,30297,X,44679,11582,12277,118166,4316,2691835
National,X,2026,7,4.42163,4.27974,19504,29368,X,42487,10734,11532,113625,4329,2654952
National,X,2026,8,3.87465,3.76897,16653,26900,X,36525,9754,10377,100209,4330,2658788
National,X,2026,9,3.70675,3.61361,16917,25087,X,38231,8952,9327,98514,4331,2726194
National,X,2026,10,3.27431,3.24068,15840,22250,X,33624,7949,8041,87704,4303,2706346
National,X,2026,11,2.90078,2.86157,13932,19564,X,27499,6898,6953,74846,4313,2615560
National,X,2026,12,2.65813,2.64764,13300,18650,X,25490,6389,6639,70468,4300,2661545
National,X,2026,13,2.37063,2.37821,11980,16403,X,20908,5705,6081,61077,4196,2568189
National,X,2026,14,2.08956,2.06724,10591,14961,X,16480,5429,5571,53032,4179,2565354
National,X,2026,15,1.8798,1.85967,9704,14006,X,15357,5077,5623,49767,4281,2676127
National,X,2026,16,1.8172,1.77703,9095,12837,X,15275,4682,5008,46897,4256,2639071
National,X,2026,17,1.76072,1.72557,8618,12249,X,14898,4462,4676,44903,4204,2602214
National,X,2026,18,1.76798,1.67597,8412,11894,X,14154,4424,4725,43609,4235,2602011
National,X,2026,19,1.75464,1.67467,8351,12189,X,13518,4514,4734,43306,4119,2585939
